;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
1901;922;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1902;922;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1903;922;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1904;922;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
1905;923;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1906;923;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
1907;923;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires étrangères et développement international;;
1908;925;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1909;925;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1910;926;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1911;926;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1912;926;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1913;928;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1914;928;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1915;928;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1916;933;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1917;933;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1918;933;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1919;933;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
1920;934;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1921;934;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1922;934;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1923;934;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
1924;940;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
1925;940;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
1926;940;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Justice;;
1927;943;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
1928;943;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
1929;944;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
1930;944;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
1931;947;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
1932;947;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
1933;949;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1934;949;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1935;953;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1936;953;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1937;953;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1938;953;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
1939;954;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1940;954;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1941;954;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1942;954;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1943;954;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
1944;954;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1945;954;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Justice, Economie et finances;;
1946;954;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;
1947;954;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Autorité de la concurrence;
1948;954;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Autorité de régulation des communications électroniques et des postes;
1949;954;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Conseil supérieur de l'audiovisuel;
1950;954;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet, Autorité de la concurrence, Autorité de régulation des communications électroniques et des postes, Conseil supérieur de l'audiovisuel;;
1951;955;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1952;955;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1953;955;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1954;955;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
1955;955;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
1956;955;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Autorité de régulation des communications électroniques et des postes;
1957;955;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Conseil supérieur de l'audiovisuel;
1958;955;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence, Autorité de régulation des communications électroniques et des postes, Conseil supérieur de l'audiovisuel;;
1959;956;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Egalité Femmes/Hommes
1960;956;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;Egalité Femmes/Hommes
1961;956;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;Egalité Femmes/Hommes
1962;956;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;Egalité Femmes/Hommes
1963;956;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Egalité Femmes/Hommes
1964;956;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Agriculture, agroalimentaire et forêt, Autres : à préciser;;Egalité Femmes/Hommes
1965;956;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;Egalité Femmes/Hommes
1966;956;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;Egalité Femmes/Hommes
1967;957;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1968;957;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1969;958;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1970;958;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1971;958;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1972;958;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1973;958;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
1974;958;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1975;958;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Justice, Economie et finances;;
1976;958;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;
1977;958;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;;
1978;959;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1979;959;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1980;959;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1981;959;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
1982;959;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances, Affaires étrangères et développement international;;
1983;960;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1984;960;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1985;960;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1986;960;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1987;960;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1988;960;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Economie et finances;;
1989;961;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
1990;961;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
1991;962;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1992;962;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1993;964;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1994;964;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1995;965;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
1996;965;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
1997;967;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1998;967;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1999;968;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Secrétariat d'État auprès du Premier ministre, chargée de l'Égalité entre les femmes et les hommes
2000;968;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Secrétariat d'État auprès du Premier ministre, chargée de l'Égalité entre les femmes et les hommes
2001;970;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2002;970;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2003;972;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
2004;972;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
2005;972;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
2006;977;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Secrétariat d'État auprès du ministre de l'Économie et des Finances
2007;977;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Secrétariat d'État auprès du ministre de l'Économie et des Finances
2008;978;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
2009;978;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
2010;978;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
2011;980;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2012;980;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2013;982;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2014;982;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2015;983;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Secrétariat d’Etat auprès du Premier ministre en charge du Numérique 
2016;983;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Secrétariat d’Etat auprès du Premier ministre en charge du Numérique 
2017;984;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2018;984;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2019;988;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2020;988;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2021;990;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2022;990;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2023;991;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
2024;991;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
2025;991;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
2026;992;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
2027;992;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
2028;993;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2029;993;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2030;995;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2031;995;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2032;999;Membre du Gouvernement ou membre de cabinet ministériel;Outre-mer;
2033;999;Membre du Gouvernement ou membre de cabinet ministériel - Outre-mer;;
2034;1000;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2035;1000;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2036;1001;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2037;1001;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2038;1005;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2039;1005;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2040;1006;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;
2041;1006;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;;
2042;1007;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2043;1007;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
2044;1008;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
2045;1008;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
2046;1009;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2047;1009;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2048;1010;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2049;1010;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2050;1011;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2051;1011;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2052;1012;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
2053;1012;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
2054;1013;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
2055;1013;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
2056;1015;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Maires et élus locaux de la Mayenne
2057;1015;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Maires et élus locaux de la Mayenne
2058;1016;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Les élus parlementaires de notre département
2059;1016;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Les élus parlementaires de notre département
2060;1017;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2061;1017;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
2062;1017;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2063;1017;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
2064;1018;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2065;1018;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
2066;1018;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2067;1018;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
2068;1019;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2069;1019;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
2070;1019;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2071;1019;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
2072;1020;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2073;1020;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
2074;1020;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2075;1020;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
2076;1021;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
2077;1021;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2078;1021;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
2079;1022;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2080;1022;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
2081;1022;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2082;1022;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
2083;1028;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;MINISTRE AUPRÈS DU MINISTRE D'ÉTAT, MINISTRE DE LA TRANSITION ÉCOLOGIQUE ET SOLIDAIRE, CHARGÉE DES TRANSPORTS 
2084;1028;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;MINISTRE AUPRÈS DU MINISTRE D'ÉTAT, MINISTRE DE LA TRANSITION ÉCOLOGIQUE ET SOLIDAIRE, CHARGÉE DES TRANSPORTS 
2085;1033;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;MINISTRE AUPRÈS DU MINISTRE D'ÉTAT, MINISTRE DE LA TRANSITION ÉCOLOGIQUE ET SOLIDAIRE, CHARGÉE DES TRANSPORTS
2086;1033;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;MINISTRE AUPRÈS DU MINISTRE D'ÉTAT, MINISTRE DE LA TRANSITION ÉCOLOGIQUE ET SOLIDAIRE, CHARGÉE DES TRANSPORTS
2087;1037;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des jeux en ligne;
2088;1037;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des jeux en ligne;;
2089;1038;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère de l'Action et des Comptes publics
2090;1038;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère de l'Action et des Comptes publics
2091;1039;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
2092;1039;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
2093;1040;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2094;1040;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2095;1040;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
2096;1042;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des jeux en ligne;
2097;1042;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des jeux en ligne;;
2098;1043;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère de l'Action et des Comptes publics
2099;1043;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère de l'Action et des Comptes publics
2100;1045;Membre du Gouvernement ou membre de cabinet ministériel;Famille;
2101;1045;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
2102;1045;Membre du Gouvernement ou membre de cabinet ministériel - Famille, enfance et droits des femmes;;
2103;1046;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2104;1046;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2105;1047;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2106;1047;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2107;1053;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
2108;1053;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
2109;1053;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
2110;1054;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
2111;1054;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
2112;1054;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
2113;1055;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2114;1055;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2115;1055;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2116;1055;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2117;1055;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
2118;1055;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer, Affaires étrangères et développement international;;
2119;1056;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2120;1056;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2121;1056;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2122;1056;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
2123;1057;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2124;1057;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
2125;1057;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
2126;1057;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2127;1057;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2128;1057;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Intérieur, Justice, Affaires sociales et santé, Economie et finances;;
2129;1058;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2130;1058;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2131;1058;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2132;1058;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
2133;1059;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2134;1059;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2135;1060;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
2136;1060;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
2137;1061;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
2138;1061;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2139;1061;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
2140;1061;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Economie et finances, Affaires étrangères et développement international;;
2141;1062;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2142;1062;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2143;1062;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
2144;1062;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
2145;1063;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
2146;1063;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
2147;1063;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
2148;1063;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2149;1063;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Justice, Economie et finances;;
2150;1063;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
2151;1063;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
2152;1064;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2153;1064;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2154;1064;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
2155;1064;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
2156;1065;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2157;1065;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2158;1065;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
2159;1065;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
2160;1066;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2161;1066;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2162;1069;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission d'accès aux documents administratifs;
